y: 35, x: 106
selected_index: 0, target_index: 1
selected_index: 1, target_index: 2
selected_index: 2, target_index: 3
selected_index: 3, target_index: 4
selected_index: 3, target_index: 4
selected_index: 0, target_index: 1
selected_index: 1, target_index: 2
selected_index: 0, target_index: 1
selected_index: 1, target_index: 2
selected_index: 2, target_index: 3
selected_index: 1, target_index: 2
selected_index: 2, target_index: 3
selected_index: 3, target_index: 4
selected_index: 2, target_index: 3
selected_index: 3, target_index: 4
selected_index: 0, target_index: 1
selected_index: 1, target_index: 2
selected_index: 2, target_index: 3


likeeeeeeeeeeeeeeeeeeeeeeeeee
